Species,phylo,Museum,Number,IM,PES,TAIL,MANUS,State,Loco
Apomys_musculus,Apomys_musculus,FMNH,175719,0.697188548,0.412197687,0.5539216,0.919770774,3,Arboreal
Apomys_musculus,Apomys_musculus,FMNH,218527,0.70023178,0.438730853,0.5512195,0.928571429,3,Arboreal
Apomys_musculus,Apomys_musculus,FMNH,175718,0.708982347,0.408026756,0.5621891,0.748677249,3,Arboreal
Apomys_musculus,Apomys_musculus,FMNH,214409,0.712332369,0.416579224,0.5555556,0.730046948,3,Arboreal
Apomys_musculus,Apomys_musculus,FMNH,214407,0.71758665,0.413646055,0.5625,0.778061224,3,Arboreal
Apomys_musculus,Apomys_musculus,FMNH,214410,0.723003375,0.398419865,0.5567568,0.772845953,3,Arboreal
Apomys_musculus,Apomys_musculus,FMNH,214411,0.731179925,0.390319258,0.5195531,0.714987715,3,Arboreal
Apomys_musculus,Apomys_musculus,FMNH,198853,0.839520958,0.388308977,0.5660377,0.708010336,3,Arboreal
Apomys_sacobianus,Apomys_sacobianus,FMNH,216330,0.665668236,0.359688918,0.5310345,0.58908046,1,Terrestrial
Apomys_sacobianus,Apomys_sacobianus,FMNH,216365,0.668669131,0.340306834,0.4910394,0.564935065,1,Terrestrial
Apomys_sacobianus,Apomys_sacobianus,FMNH,212722,0.672716273,0.341682723,0.4909091,0.587301587,1,Terrestrial
Apomys_sacobianus,Apomys_sacobianus,FMNH,216345,0.675113122,0.365686945,0.5071429,0.568322981,1,Terrestrial
Apomys_sacobianus,Apomys_sacobianus,FMNH,216363,0.678135593,0.370449679,0.519685,0.537190083,1,Terrestrial
Apomys_sierrae,Apomys_sierrae,FMNH,186827,0.67654357,0.385154062,0.4982332,0.526392962,1,Terrestrial
Apomys_sierrae,Apomys_sierrae,FMNH,186825,0.688285802,0.376436782,0.4982206,0.556904401,1,Terrestrial
Apomys_sierrae,Apomys_sierrae,FMNH,209579,0.691765811,0.364035088,0.4887218,0.577443609,1,Terrestrial
Apomys_sierrae,Apomys_sierrae,FMNH,209570,0.692691784,0.372589532,0.5017668,0.568571429,1,Terrestrial
Apomys_sierrae,Apomys_sierrae,FMNH,209586,0.705796396,0.387096774,0.4835165,0.602739726,1,Terrestrial
Apomys_sierrae,Apomys_sierrae,FMNH,186821,0.717263325,0.393571429,0.4873646,0.703927492,1,Terrestrial
Apomys_zambalensis,Apomys_zambalensis,FMNH,183627,0.652029073,0.375166889,0.4892857,0.633387889,1,Terrestrial
Apomys_zambalensis,Apomys_zambalensis,FMNH,183605,0.656735142,0.384401114,0.4981818,0.611195159,1,Terrestrial
Apomys_zambalensis,Apomys_zambalensis,FMNH,183601,0.671107164,0.415935673,0.471831,0.658496732,1,Terrestrial
Apomys_zambalensis,Apomys_zambalensis,FMNH,183635,0.673390822,0.39869281,0.4641509,0.467692308,1,Terrestrial
Apomys_zambalensis,Apomys_zambalensis,FMNH,179439,0.684242151,0.38961039,0.498181818,0.590551181,1,Terrestrial
Apomys_zambalensis,Apomys_zambalensis,FMNH,179441,0.686132466,0.392857143,0.5035461,0.592436975,1,Terrestrial
Archboldomys_maximus,Archboldomys_maximus,FMNH,193942,0.667272727,0.389845095,0.4554455,0.695754717,1,Terrestrial
Archboldomys_maximus,Archboldomys_maximus,FMNH,193943,0.668624671,0.409780776,0.5070423,0.675555556,1,Terrestrial
Archboldomys_maximus,Archboldomys_maximus,FMNH,193944,0.680761985,0.430865299,0.4761905,0.658314351,1,Terrestrial
Batomys_granti,Batomys_granti,FMNH,214412,0.765658217,0.477960242,0.4645161,0.693113772,2,General
Bullimus_luzonicus,Bullimus_luzonicus,FMNH,188450,0.67322874,0.38595592,0.4470842,0.53256705,1,Terrestrial
Bullimus_luzonicus,Bullimus_luzonicus,FMNH,214415,0.694154961,0.370390754,0.4665012,0.548672566,1,Terrestrial
Bullimus_luzonicus,Bullimus_luzonicus,FMNH,188455,0.695263975,0.40062435,0.4420131,0.541625857,1,Terrestrial
Bullimus_luzonicus,Bullimus_luzonicus,FMNH,209589,0.70750305,0.394065591,0.4642082,0.521825397,1,Terrestrial
Bullimus_luzonicus,Bullimus_luzonicus,FMNH,209588,0.71171771,0.373979314,0.4877506,0.519957983,1,Terrestrial
Bullimus_luzonicus,Bullimus_luzonicus,FMNH,185971,0.719980363,0.409810935,0.4821053,0.535374868,1,Terrestrial
Bunomys_fratrorum,Bunomys_fratrorum,LSUMZ,38992,0.687439261,0.360837438,0.434666667,0.491725768,1,Terrestrial
Bunomys_fratrorum,Bunomys_fratrorum,LSUMZ,38989,0.68973514,0.360626129,0.495774648,0.50125,1,Terrestrial
Bunomys_fratrorum,Bunomys_fratrorum,LSUMZ,38991,0.692636879,0.366529169,0.486075949,0.50929368,1,Terrestrial
Bunomys_fratrorum,Bunomys_fratrorum,LSUMZ,38988,0.69953465,0.341920375,0.495024876,0.495203837,1,Terrestrial
Chiropodomys_gliroides,Chiropodomys_gliroides,AMNH,240332,0.690849343,0.521994135,0.565217391,0.744252874,3,Arboreal
Chiropodomys_gliroides,Chiropodomys_gliroides,AMNH,240344,0.716450216,0.558510638,0.586734694,0.75,3,Arboreal
Chrotomys_whiteheadi,Chrotomys_whiteheadi,FMNH,62284,0.714469247,0.421826625,0.4078014,0.616084977,1,Terrestrial
Echiothrix_leucura,Echiothrix_leucura,LSUMZ,39070,0.633773377,0.323015477,0.545679012,0.473684211,1,Terrestrial
Grammomys_surdaster,Grammomys_surdaster,LSUMZ,38504,0.656125654,0.406122449,0.564912281,0.743529412,3,Arboreal
Grammomys_surdaster,Grammomys_surdaster,LSUMZ,38503,0.663303909,0.409751037,0.542553191,0.725728155,3,Arboreal
Grammomys_surdaster,Grammomys_surdaster,LSUMZ,38506,0.668940524,0.421164021,0.564912281,0.715277778,3,Arboreal
Grammomys_surdaster,Grammomys_surdaster,LSUMZ,38508,0.678352941,0.41017316,0.585185185,0.710327456,3,Arboreal
Grammomys_surdaster,Grammomys_surdaster,LSUMZ,38511,0.682038275,0.420781893,0.564748201,0.714611872,3,Arboreal
Grammomys_surdaster,Grammomys_surdaster,LSUMZ,38509,0.686257181,0.431330472,0.582491582,0.726057906,3,Arboreal
Haeromys_minahassae,Haeromys_minahassae,LSUMZ,38298,0.706365503,0.444,0.625592417,0.885542169,3,Arboreal
Haeromys_minahassae,Haeromys_minahassae,LSUMZ,38299,0.742257031,0.465991317,0.636363636,0.830860534,3,Arboreal
Hybomys_univittatus,Hybomys_univittatus,LSUMZ,38541,0.691536302,0.444043321,0.455319149,0.667903525,1,Terrestrial
Hydromys_chrysogaster,Hydromys_chrysogaster,AMNH,35690,0.609299517,0.421984164,0.479209019,0.613953488,1,Terrestrial
Hylomyscus_stella,Hylomyscus_stella,LSUMZ,38559,0.668584881,0.417989418,0.598290598,0.691906005,2,General
Hylomyscus_stella,Hylomyscus_stella,LSUMZ,38858,0.686364799,0.416772554,0.552301255,0.698924731,2,General
Hylomyscus_stella,Hylomyscus_stella,LSUMZ,38557,0.689842209,0.42804428,0.635555556,0.698924731,2,General
Hyomys_goliath,Hyomys_goliath,AMNH,208106,0.794970986,0.531988473,0.460370995,0.712595097,2,General
Lemniscomys_striatus,Lemniscomys_striatus,LSUMZ,38571,0.652769262,0.37732342,0.551282051,0.559360731,1,Terrestrial
Lemniscomys_striatus,Lemniscomys_striatus,LSUMZ,38572,0.659529807,0.364038973,0.536,0.557235421,1,Terrestrial
Lenomys_meyeri,Lenomys_meyeri,LSUMZ,39074,0.735159817,0.625260236,0.52173913,0.74058127,3,Arboreal
Lenomys_meyeri,Lenomys_meyeri,LSUMZ,39076,0.740590945,0.58815427,0.507017544,0.743618202,3,Arboreal
Lenomys_meyeri,Lenomys_meyeri,LSUMZ,39075,0.740691342,0.596406358,0.5,0.735135135,3,Arboreal
Lenomys_meyeri,Lenomys_meyeri,MZB,40360,0.741494355,0.598775103,0.513689169,0.74058127,3,Arboreal
Lenomys_meyeri,Lenomys_meyeri,MZB,40363,0.741494355,0.598775103,0.513689169,0.748283753,3,Arboreal
Lenomys_meyeri,Lenomys_meyeri,LSUMZ,39077,0.749535316,0.585279547,0.526,0.728699552,3,Arboreal
Malacomys_longipes,Malacomys_longipes,LSUMZ,38694,0.69741449,0.328479907,0.511494253,0.574585635,1,Terrestrial
Malacomys_longipes,Malacomys_longipes,LSUMZ,38691,0.698029755,0.314161693,0.520547945,0.544594595,1,Terrestrial
Malacomys_longipes,Malacomys_longipes,LSUMZ,38693,0.713190184,0.351419558,0.5,0.590643275,1,Terrestrial
Malacomys_longipes,Malacomys_longipes,LSUMZ,38692,0.71752451,0.325062035,0.53776435,0.540620384,1,Terrestrial
Mastomys_natalensis,Mastomys_natalensis,LSUMZ,38714,0.690925427,0.379882813,0.493273543,0.630232558,1,Terrestrial
Maxomys_hellwaldii,Maxomys_hellwaldii,LSUMZ,38316,0.621735281,0.385652643,0.483627204,0.525188917,1,Terrestrial
