Species,phylo,climb2,climb,MANUS,SMI,BI,HRI,HEB,OLI,URI,CI,FRI,GI,FEB,TRI,TSI,PES,IM,SI,Catalog_number,Total_length,Tail_length,TAIL
Apomys_datae,Apomys_datae,0.05,0,0.546623794,0.387160494,1.135308642,0.079012346,0.230123457,0.141068447,0.038814691,1.305802777,0.066571734,0.075827697,0.157707369,0.040621592,0.326335878,0.321549966,0.682569091,0.637654321,175630,271,129,0.4760148
Apomys_datae,Apomys_datae,0.05,0,0.548895899,0.404162633,1.144240077,0.074056147,0.255566312,0.133174792,0.038842648,1.352107687,0.078639745,0.067304286,0.170031881,0.042441708,0.310453236,0.341655716,0.691114458,0.683002481,170948,290,139,0.4793103
Apomys_datae,Apomys_datae,0.05,0,0.54954955,0.400985222,1.167980296,0.065517241,0.248768473,0.141104294,0.040899796,1.330344333,0.06527977,0.073888092,0.167862267,0.038285252,0.334861149,0.360966057,0.688779437,0.674861709,170954,277,138,0.4981949
Apomys_datae,Apomys_datae,0.05,0,0.551401869,0.412887828,1.077326969,0.074940334,0.268735084,0.160346249,0.040807914,1.314194009,0.068116976,0.080599144,0.163694722,0.044776119,0.324287653,0.31833223,0.696717522,0.669469599,188438,278,136,0.4892086
Apomys_datae,Apomys_datae,0.05,0,0.557877814,0.451444813,1.114637613,0.076267172,0.256750355,0.1453958,0.039579968,1.342067989,0.081090652,0.077903683,0.17315864,0.046701847,0.301846966,0.338366507,0.693528878,0.664681358,214389,287,132,0.4599303
Apomys_datae,Apomys_datae,0.05,0,0.559055118,0.438869946,1.105698977,0.075499269,0.267900633,0.15027208,0.051067392,1.317866277,0.07234198,0.095725247,0.177932042,0.046021625,0.331577488,0.338104976,0.700189155,0.707423581,193890,278,133,0.4784173
Apomys_datae,Apomys_datae,0.05,0,0.577996716,0.416580311,1.154404145,0.069948187,0.241968912,0.133076594,0.041078306,1.319213313,0.063540091,0.074886536,0.158093797,0.039850917,0.230504587,0.35,0.695857795,0.66091954,170956,263,127,0.482889734
Apomys_datae,Apomys_datae,0.05,0,0.580209895,0.395012469,1.122194514,0.075311721,0.267331671,0.165176671,0.029799915,1.333333333,0.064576334,0.075027996,0.187010078,0.043673012,0.328387458,0.355337079,0.696528555,0.6796875,188448,279,132,0.4731183
Apomys_datae,Apomys_datae,0.05,0,0.581469649,0.39736442,1.132285859,0.078560568,0.253928028,0.149152542,0.039830508,1.333588957,0.074769939,0.067484663,0.17791411,0.050028752,0.272570443,0.378830084,0.71196188,0.755798969,188433,270,126,0.4666667
Apomys_datae,Apomys_datae,0.05,0,0.5856,0.41617357,1.098619329,0.076923077,0.24556213,0.147848317,0.037494674,1.310939794,0.059104258,0.071218796,0.173641703,0.047885746,0.247549706,0.368810052,0.694996029,0.665030675,188425,272,130,0.4779412
